Номер ситуации;Пример набора секторов пробоин с 10м;Описание;Причина;Рекомендаци
1;"С1, С2, С5, С9";Стрелок произвел четыре выстрела – пробоины располагаются по всей мишени. Кучность отсутствует.  Расстояние между пробоинами может составлять десятки сантиметров.;"• «перевод взгляда» с мушки на мишень (с мушки на мишень – с мишени на мушку). При таком варианте в момент выстрела стрелок не контролирует положение мушки, что приводит к её значительным отклонениям и разбросу пробоин по всей мишени;
• тремор пистолета. Чрезмерное напряжение мышц при хвате пистолета приводит к появлению колебаний (тремора) оружия при стрельбе, что приводит к значительному ухудшению кучности стрельбы и  разбросу пробоин по мишени;
• стрелок не задерживает дыхание при производстве выстрела (выстрелов). 
";"• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения изготовке к стрельбе, прицеливанию и выносу оружия – Раздел 3.2.
• Изучение основ производства выстрела – элементов качественного выстрела из пистолета (приёмов и правил  стрельбы) – Разделы 1.3 (прицеливание) и 1.5 (управление дыханием).
"
2;"С1, С9, С10, С10";"Стрелок произвел четыре выстрела –1 пробоина располагается в районе прицеливания,  3 пробоины сместились вниз, 2 пробоины находятся под мишенью.";"• неправильная обработка спускового крючка – спусковой крючок обрабатывается либо одним сплошным резким движением, без деления его хода на холостой и боевой, либо стрелок обрабатывает одним резким движением только боевой ход спускового крючка. И в первом и во втором случае при выстреле мушка будет очень сильно смещаться вниз, что неизбежно приведет к промахам;  
• более «грубый» вариант ситуации «ожидания выстрела» - при обработке спускового крючка сотрудник переключил свое внимание на ожидание отдачи при выстреле оружия и за доли секунды до производства выстрела попытался компенсировать отдачу оружия очень сильным «тычком» пистолета вниз.
";"• Изучение алгоритма производства выстрела – Раздел 1.6. и особенностей прицеливания и обработки спускового крючка – Раздел 1.7.  
• Упражнения для обучения спуску курка (обработки спускового крючка) – Раздел 3.3.
• Упражнения для обучения выстрелу, в том числе с эмитацией отдачи оружия при стрельбе и с использованием различных тренажеров – Раздел 3.4.
"
3;"С1, С6, С6, С6";"Стрелок произвел четыре выстрела – пробоины располагаются кучно, но произошло смещение средней точки падания в правый верхний угол.";"• при хвате пистолета двумя руками с поддержкой кисти руки снизу стрелок непроизвольно «поддавливает» рукоятку пистолета, что приводит к смещению мушки вверх;
• не  плотная посадка пистолета в руке – существует зазор между рукояткой пистолета и ладонью, как уже было показано на рисунке выше. Такая посадка пистолета в руке приводит к непроизвольному смещению мушки вверх при обработке спускового крючка;
• ситуация «ожидания выстрела» (как при срыве его вниз) - при обработке спускового крючка сотрудник переключил свое внимание на ожидание отдачи при выстреле оружия и за доли секунды до производства выстрела попытался компенсировать отдачу оружия подбросом пистолета  вверх, так называемая «подсечка» выстрела.
В дополнении к описанным выше ошибкам смещение пробоин в данный сектор говорит о наличии как минимум ещё одной (нескольких) следующих ошибок:
• не правильная посадка пистолета в руке. Между средней линией ствола пистолета (линией прицеливания) и средней линией предплечья стреляющего образуется большой угол.При наличии такого угла лучезапястный сустав не в силах сопротивляться мощной отдаче пистолета. Кисть стреляющего “ломается” в суставе, а пистолет резко разворачивается стволом в сторону и приводит к боковому отклонению пули от района прицеливания; 
• нарушение правильности положения корпуса тела при изготовке к стрельбе.

";"• Изучение основ производства выстрела – элементов качественного выстрела из пистолета (приёмов и правил  стрельбы) – Разделы 1.1. (Изготовка к стрельбе) и 1.2. (Хват оружия).
• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения выстрелу, в том числе с эмитацией отдачи оружия при стрельбе и с использованием различных тренажеров – Раздел 3.4.
"
4;"С2, - - - ";Стрелок произвел четыре выстрела – одно попадание и три промаха;• у стрелка полностью отсутствует понимание приемов и правил стрельбы из пистолета. ;"• Изучение основ производства выстрела – элементов качественного выстрела из пистолета (приёмов и правил  стрельбы) – Раздел 1.
• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения изготовке к стрельбе, прицеливанию и выносу оружия – Раздел 3.2.
• Упражнения для обучения спуску курка (обработки спускового крючка) – Раздел 3.3.
"
5;"С4, С1, С4, С1";"Стрелок произвел 4 выстрела, два в центр, два в левый верхний угол";"• при хвате пистолета двумя руками с поддержкой кисти руки снизу стрелок непроизвольно «поддавливает» рукоятку пистолета, что приводит к смещению мушки вверх;
• не  плотная посадка пистолета в руке – существует зазор между рукояткой пистолета и ладонью, как показано на рисунках ниже. Такая посадка пистолета в руке приводит к непроизвольному смещению мушки вверх при обработке спускового крючка.                                                                                                                           • неправильное наложение пальца на спусковой крючок (во время выстрела указательный палец сильной руки давит на спусковой крючок внутрь, загибая кисть и ствол пистолета влево) – обработка спускового крючка должна осуществляться серединой подушечки третьей фаланги (счет идет от центра к периферии). В данном случае сотрудник накладывает палец на спусковой крючок сгибом между третьей и второй фалангами, что приводит к инстинктивному смещению мушки влево при производстве выстрела;
• чрезмерное сдавливание рукоятки пальцами правой руки. Попытка стрелка сильно сдавить рукоятку пистолета правой рукой может привести к смещению мушки влево при выстреле;
• в случае если посадка пистолета в руке не плотная (как показано на фото выше), то возможно наличие ещё такой ошибки, как чрезмерное давление на рукоятку пистолета (скручивание хвата левой рукой) – при формировании хвата левая рука накладывается слишком далеко, что приводит к непроизвольному скручивающему движению левой рукой стрелка и соответственно к смещению мушки влево в момент выстрела.";"• Изучение основ производства выстрела – элементов качественного выстрела из пистолета (приёмов и правил  стрельбы) – Раздел 1.2. (Хват оружия).
• Упражнение по определению ведущего глаза – Раздел 1.3.
• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения изготовке к стрельбе, прицеливанию и выносу оружия – Раздел 3.2.
"
6;"С7, С7, С7, С7";"Стрелок произвел четыре выстрела – пробоины располагаются кучно, но произошло смещение средней точки попадания вправо";"• чрезмерное сдавливание левой рукой рукоятки пистолета, приводящее к смещению мушки вправо при производстве выстрела";• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
7;- - - -;Стрелок произвел четыре выстрела – попаданий нет;у стрелка полностью отсутствует понимание приемов и правил стрельбы из пистолета;"• Изучение основ производства выстрела – элементов качественного выстрела из пистолета (приёмов и правил  стрельбы) – Раздел 1.
• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения изготовке к стрельбе, прицеливанию и выносу оружия – Раздел 3.2.
• Упражнения для обучения спуску курка (обработки спускового крючка) – Раздел 3.3.
"
8;"С1, С1, С3, С3";"Стрелок произвел четыре выстрела – 2 пробоины находятся в центре мишени, 2 пробоины сместились влево.";"• сотрудник отбрасывает палец от спускового крючка при выполнении стрелкового упражнения после каждого выстрела, что говорит об отсутствии единообразия при наложении пальца на спусковой крючок в момент его обработки";"• Изучение основ производства выстрела – элементов качественного выстрела из пистолета (приёмов и правил  стрельбы) – Раздел 1.4. (обработка спускового крючка).
•  Упражнения для обучения спуску курка (обработки спускового крючка) – Раздел 3.3
"
9;"С1, С1, С1, С9";"Стрелок произвел четыре выстрела – три попадание располагается в районе прицеливания, одно попадание отклонилось в низ мишени ";"• стрелку не получается полностью проконтролировать выполнение  всех элементов  при производстве четырёх выстрелов. Потеря контроля над каким то выстрелом говорит о переключении внимания стрелка на отдачу оружия, что приводит к отклонению попаданий от района прицеливания в определенный сектор мишени (в данном случае в низ мишени)                                                           .• неправильная обработка спускового крючка, так называемый «срыв» - сотрудник старался плавно тянуть хвост спускового крючка при обработке боевого хода, однако перед самым выстрелом (ожидая, что он вот-вот произойдет) произвел резкое нажатие на спусковой крючок, что привело к смещению мушки вниз;
• ситуация «ожидания выстрела» - при обработке спускового крючка сотрудник переключил свое внимание на ожидание отдачи при выстреле оружия и за доли секунды до производства выстрела попытался компенсировать отдачу оружия «тычком» пистолета вни";"• Изучение алгоритма производства выстрела – Раздел 1.6. и особенностей прицеливания и обработки спускового крючка – Раздел 1.7.  
• Упражнения для обучения спуску курка (обработки спускового крючка) – Раздел 3.3.
• Упражнения для обучения выстрелу, в том числе с эмитацией отдачи оружия при стрельбе и с использованием различных тренажеров – Раздел 3.4
"
10;"С5, С5, С5, С5";"Стрелок произвел четыре выстрела – пробоины располагаются кучно, но произошло смещение средней точки попадания вверх";"• при хвате пистолета двумя руками с поддержкой кисти руки снизу стрелок непроизвольно «поддавливает» рукоятку пистолета, что приводит к смещению мушки вверх;
• не  плотная посадка пистолета в руке – существует зазор между рукояткой пистолета и ладонью, как уже было показано на рисунке выше. Такая посадка пистолета в руке приводит к непроизвольному смещению мушки вверх при обработке спускового крючка;
• ситуация «ожидания выстрела» (как при срыве его вниз) - при обработке спускового крючка сотрудник переключил свое внимание на ожидание отдачи при выстреле оружия и за доли секунды до производства выстрела попытался компенсировать отдачу оружия подбросом пистолета  вверх, так называемая «подсечка» выстрела
";"• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения выстрелу, в том числе с эмитацией отдачи оружия при стрельбе и с использованием различных тренажеров – Раздел 3.4
"
11;"С1, С4, С6, С8";Стрелок произвел четыре выстрела – пробоины располагаются по всей мишени. Кучность отсутствует.  Расстояние между пробоинами может составлять десятки сантиметров.;"• «перевод взгляда» с мушки на мишень (с мушки на мишень – с мишени на мушку). При таком варианте в момент выстрела стрелок не контролирует положение мушки, что приводит к её значительным отклонениям и разбросу пробоин по всей мишени;
• тремор пистолета. Чрезмерное напряжение мышц при хвате пистолета приводит к появлению колебаний (тремора) оружия при стрельбе, что приводит к значительному ухудшению кучности стрельбы и  разбросу пробоин по мишени;
• стрелок не задерживает дыхание при производстве выстрела (выстрелов). 
";"• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения изготовке к стрельбе, прицеливанию и выносу оружия – Раздел 3.2.
• Изучение основ производства выстрела – элементов качественного выстрела из пистолета (приёмов и правил  стрельбы) – Разделы 1.3 (прицеливание) и 1.5 (управление дыханием).
"
